text,labels
Technology leveraging AI and machine learning for monitoring worker behavior and scoring productivity for management decisions,machine_learning|behavioral_analytics|time_series_analysis
Technology leveraging AI and machine learning for automated scoring and ranking of university applicants,machine_learning|nlp|ranking_algorithms
"An artificial intelligence solution designed for aI determining eligibility for social welfare, housing benefits, unemployment aid",machine_learning|nlp|decision_systems
Technology leveraging AI and machine learning for automated filtering of spam and phishing emails,nlp|machine_learning|anomaly_detection
Automated behavioral manipulation application: using subliminal techniques to distort human behavior against their will,nlp|deep_learning|behavioral_analytics
A social scoring AI tool capable of scoring individuals based on social behavior and trustworthiness,machine_learning|data_mining|social_network_analysis
Technology leveraging AI and machine learning for aI management of electricity grid load balancing and failure prevention,machine_learning|iot|time_series_analysis|optimization
AI predicting crime hotspots and individual crime likelihood for policing decisions. This AI-powered system automates key processes in the law enforcement domain,machine_learning|predictive_analytics|geospatial_analysis
A critical infrastructure AI tool capable of automated monitoring and control of municipal water treatment plants,machine_learning|iot|anomaly_detection|time_series_analysis
An artificial intelligence solution designed for automated risk assessment and classification of asylum seekers,nlp|machine_learning|decision_systems
Automated language translation for consumers and businesses,nlp|deep_learning|transformer
"Inferring race, political opinion, religion, sexual orientation from biometrics. This AI-powered system automates key processes in the biometrics domain",computer_vision|deep_learning|biometrics
General-purpose AI chatbot for consumer and enterprise use. This AI-powered system automates key processes in the general purpose ai domain,nlp|deep_learning|transformer|generative_ai
Monitoring worker behavior and scoring productivity for management decisions. This AI-powered system automates key processes in the employment domain,machine_learning|behavioral_analytics|time_series_analysis
Automated education application: automated scoring and ranking of university applicants,machine_learning|nlp|ranking_algorithms
"Technology leveraging AI and machine learning for aI-assisted detection of tumours, fractures, and pathologies in medical imaging",computer_vision|deep_learning|medical_imaging
"A general purpose ai AI tool capable of multimodal foundation model for search, workspace and developer APIs",nlp|deep_learning|transformer|generative_ai|computer_vision
"An artificial intelligence solution designed for inferring race, political opinion, religion, sexual orientation from biometrics",computer_vision|deep_learning|biometrics
Technology leveraging AI and machine learning for scoring individuals based on social behavior and trustworthiness,machine_learning|data_mining|social_network_analysis
A financial services AI tool capable of automated creditworthiness assessment for loans and credit products,machine_learning|predictive_analytics|data_mining
"Technology leveraging AI and machine learning for aI generating news articles, summaries and editorial content",nlp|deep_learning|generative_ai
"Technology leveraging AI and machine learning for exploiting age, disability, or socioeconomic vulnerability to distort behavior",machine_learning|behavioral_analytics|nlp
An artificial intelligence solution designed for aI management of electricity grid load balancing and failure prevention,machine_learning|iot|time_series_analysis|optimization
"Exploiting age, disability, or socioeconomic vulnerability to distort behavior. This AI-powered system automates key processes in the behavioral manipulation domain",machine_learning|behavioral_analytics|nlp
Open-source foundation model for unrestricted deployment,nlp|deep_learning|transformer|generative_ai
AI system that performs aI chatbot interacting with customers for support and sales,nlp|deep_learning|chatbot
A general purpose ai AI tool capable of foundation AI model for enterprise and consumer applications,nlp|deep_learning|transformer|generative_ai
Technology leveraging AI and machine learning for aI predicting crime hotspots and individual crime likelihood for policing decisions,machine_learning|predictive_analytics|geospatial_analysis
A biometrics AI tool capable of mass scraping of internet/CCTV images to build facial recognition databases,computer_vision|deep_learning|biometrics|data_mining
Technology leveraging AI and machine learning for aI video and voice synthesis (deepfake) for content creation,computer_vision|deep_learning|generative_ai|gan
AI chatbot interacting with customers for support and sales. This AI-powered system automates key processes in the customer service domain,nlp|deep_learning|chatbot
AI assessment of truthfulness or deception in interrogations or border checks. This AI-powered system automates key processes in the law enforcement domain,computer_vision|nlp|sentiment_analysis
Automated employment application: monitoring worker behavior and scoring productivity for management decisions,machine_learning|behavioral_analytics|time_series_analysis
Automated gaming application: aI-driven non-player characters with adaptive behavior in video games,reinforcement_learning|deep_learning|generative_ai
"Technology leveraging AI and machine learning for aI determining eligibility for social welfare, housing benefits, unemployment aid",machine_learning|nlp|decision_systems
"Automated healthcare application: aI-assisted detection of tumours, fractures, and pathologies in medical imaging",computer_vision|deep_learning|medical_imaging
Automated biometrics application: post-facto biometric identification for law enforcement investigations,computer_vision|biometrics|deep_learning
Automated monitoring and control of municipal water treatment plants,machine_learning|iot|anomaly_detection|time_series_analysis
AI system that performs personalized product and content recommendations for online shoppers,deep_learning|recommender_systems|collaborative_filtering
"Automated media application: aI generating news articles, summaries and editorial content",nlp|deep_learning|generative_ai
Automated filtering of spam and phishing emails. This AI-powered system automates key processes in the email/security domain,nlp|machine_learning|anomaly_detection
Automated customer service application: aI chatbot interacting with customers for support and sales,nlp|deep_learning|chatbot
AI system that performs aI assessment of truthfulness or deception in interrogations or border checks,computer_vision|nlp|sentiment_analysis
Technology leveraging AI and machine learning for automated filtering and ranking of job applicants from CVs,nlp|machine_learning|ranking_algorithms
AI system that performs aI predicting judicial outcomes and assisting in legal interpretation,nlp|deep_learning|predictive_analytics
"AI system that performs exploiting age, disability, or socioeconomic vulnerability to distort behavior",machine_learning|behavioral_analytics|nlp
Foundation model API for enterprise AI applications. This AI-powered system automates key processes in the general purpose ai domain,nlp|deep_learning|transformer|generative_ai
Technology leveraging AI and machine learning for aI-assisted code generation and completion for software developers,nlp|deep_learning|transformer|generative_ai
An artificial intelligence solution designed for aI-assisted code generation and completion for software developers,nlp|deep_learning|transformer|generative_ai
A language AI tool capable of automated language translation for consumers and businesses,nlp|deep_learning|transformer
Automated social media application: aI content recommendation and feed curation for social media users,deep_learning|recommender_systems|behavioral_analytics
An artificial intelligence solution designed for aI chatbot interacting with customers for support and sales,nlp|deep_learning|chatbot
AI system that performs automated risk assessment and classification of asylum seekers,nlp|machine_learning|decision_systems
AI system that performs aI video and voice synthesis (deepfake) for content creation,computer_vision|deep_learning|generative_ai|gan
Technology leveraging AI and machine learning for emotion recognition systems deployed in educational institutions,computer_vision|deep_learning|sentiment_analysis
Automated allocation of work tasks and management of gig economy workers,machine_learning|optimization|reinforcement_learning
"A behavioral manipulation AI tool capable of exploiting age, disability, or socioeconomic vulnerability to distort behavior",machine_learning|behavioral_analytics|nlp
Technology leveraging AI and machine learning for autonomous driving and collision avoidance in road vehicles,computer_vision|deep_learning|reinforcement_learning|sensor_fusion
A behavioral manipulation AI tool capable of using subliminal techniques to distort human behavior against their will,nlp|deep_learning|behavioral_analytics
Mass scraping of internet/CCTV images to build facial recognition databases. This AI-powered system automates key processes in the biometrics domain,computer_vision|deep_learning|biometrics|data_mining
Automated law enforcement application: aI predicting crime hotspots and individual crime likelihood for policing decisions,machine_learning|predictive_analytics|geospatial_analysis
A general purpose ai AI tool capable of general-purpose AI chatbot for consumer and enterprise use,nlp|deep_learning|transformer|generative_ai
Automated allocation of work tasks and management of gig economy workers. This AI-powered system automates key processes in the employment domain,machine_learning|optimization|reinforcement_learning
AI system that performs aI predicting crime hotspots and individual crime likelihood for policing decisions,machine_learning|predictive_analytics|geospatial_analysis
"A healthcare AI tool capable of aI-assisted detection of tumours, fractures, and pathologies in medical imaging",computer_vision|deep_learning|medical_imaging
General-purpose AI chatbot for consumer and enterprise use,nlp|deep_learning|transformer|generative_ai
A e-commerce AI tool capable of personalized product and content recommendations for online shoppers,deep_learning|recommender_systems|collaborative_filtering
Technology leveraging AI and machine learning for aI content recommendation and feed curation for social media users,deep_learning|recommender_systems|behavioral_analytics
An artificial intelligence solution designed for automated language translation for consumers and businesses,nlp|deep_learning|transformer
AI system that performs general-purpose AI chatbot for consumer and enterprise use,nlp|deep_learning|transformer|generative_ai
AI assessment of truthfulness or deception in interrogations or border checks,computer_vision|nlp|sentiment_analysis
Foundation model API for enterprise AI applications,nlp|deep_learning|transformer|generative_ai
"Exploiting age, disability, or socioeconomic vulnerability to distort behavior",machine_learning|behavioral_analytics|nlp
An artificial intelligence solution designed for automated allocation of work tasks and management of gig economy workers,machine_learning|optimization|reinforcement_learning
AI video and voice synthesis (deepfake) for content creation,computer_vision|deep_learning|generative_ai|gan
A employment AI tool capable of monitoring worker behavior and scoring productivity for management decisions,machine_learning|behavioral_analytics|time_series_analysis
"An artificial intelligence solution designed for multimodal foundation model for search, workspace and developer APIs",nlp|deep_learning|transformer|generative_ai|computer_vision
Emotion recognition systems deployed in educational institutions. This AI-powered system automates key processes in the education domain,computer_vision|deep_learning|sentiment_analysis
A social media AI tool capable of aI content recommendation and feed curation for social media users,deep_learning|recommender_systems|behavioral_analytics
AI system that performs aI content recommendation and feed curation for social media users,deep_learning|recommender_systems|behavioral_analytics
A justice AI tool capable of aI predicting judicial outcomes and assisting in legal interpretation,nlp|deep_learning|predictive_analytics
Personalized product and content recommendations for online shoppers. This AI-powered system automates key processes in the e-commerce domain,deep_learning|recommender_systems|collaborative_filtering
Automated general purpose ai application: general-purpose AI chatbot for consumer and enterprise use,nlp|deep_learning|transformer|generative_ai
Automated justice application: aI predicting judicial outcomes and assisting in legal interpretation,nlp|deep_learning|predictive_analytics
"AI system that performs inferring race, political opinion, religion, sexual orientation from biometrics",computer_vision|deep_learning|biometrics
AI predicting judicial outcomes and assisting in legal interpretation. This AI-powered system automates key processes in the justice domain,nlp|deep_learning|predictive_analytics
Technology leveraging AI and machine learning for foundation model API for enterprise AI applications,nlp|deep_learning|transformer|generative_ai
A law enforcement AI tool capable of aI predicting crime hotspots and individual crime likelihood for policing decisions,machine_learning|predictive_analytics|geospatial_analysis
AI system that performs aI management of electricity grid load balancing and failure prevention,machine_learning|iot|time_series_analysis|optimization
"Multimodal foundation model for search, workspace and developer APIs. This AI-powered system automates key processes in the general purpose ai domain",nlp|deep_learning|transformer|generative_ai|computer_vision
Post-facto biometric identification for law enforcement investigations,computer_vision|biometrics|deep_learning
Technology leveraging AI and machine learning for using subliminal techniques to distort human behavior against their will,nlp|deep_learning|behavioral_analytics
Automated biometrics application: real-time remote biometric identification in public spaces by private entities,computer_vision|deep_learning|biometrics
Foundation AI model for enterprise and consumer applications,nlp|deep_learning|transformer|generative_ai
An artificial intelligence solution designed for monitoring worker behavior and scoring productivity for management decisions,machine_learning|behavioral_analytics|time_series_analysis
An artificial intelligence solution designed for aI video and voice synthesis (deepfake) for content creation,computer_vision|deep_learning|generative_ai|gan
AI system that performs automated language translation for consumers and businesses,nlp|deep_learning|transformer
A insurance AI tool capable of automated risk scoring for insurance pricing and coverage decisions,machine_learning|predictive_analytics|data_mining
AI system that performs real-time remote biometric identification in public spaces by private entities,computer_vision|deep_learning|biometrics
"Technology leveraging AI and machine learning for inferring race, political opinion, religion, sexual orientation from biometrics",computer_vision|deep_learning|biometrics
"AI determining eligibility for social welfare, housing benefits, unemployment aid. This AI-powered system automates key processes in the public services domain",machine_learning|nlp|decision_systems
Autonomous driving and collision avoidance in road vehicles,computer_vision|deep_learning|reinforcement_learning|sensor_fusion
"Inferring race, political opinion, religion, sexual orientation from biometrics",computer_vision|deep_learning|biometrics
Automated scoring and ranking of university applicants,machine_learning|nlp|ranking_algorithms
AI system that performs automated monitoring and control of municipal water treatment plants,machine_learning|iot|anomaly_detection|time_series_analysis
AI system that performs emotion recognition systems deployed in educational institutions,computer_vision|deep_learning|sentiment_analysis
"AI system that performs aI generating news articles, summaries and editorial content",nlp|deep_learning|generative_ai
AI-assisted code generation and completion for software developers,nlp|deep_learning|transformer|generative_ai
An artificial intelligence solution designed for personalized product and content recommendations for online shoppers,deep_learning|recommender_systems|collaborative_filtering
"An artificial intelligence solution designed for exploiting age, disability, or socioeconomic vulnerability to distort behavior",machine_learning|behavioral_analytics|nlp
An artificial intelligence solution designed for emotion recognition systems deployed in educational institutions,computer_vision|deep_learning|sentiment_analysis
An artificial intelligence solution designed for automated creditworthiness assessment for loans and credit products,machine_learning|predictive_analytics|data_mining
Emotion recognition systems deployed in educational institutions,computer_vision|deep_learning|sentiment_analysis
Automated monitoring and control of municipal water treatment plants. This AI-powered system automates key processes in the critical infrastructure domain,machine_learning|iot|anomaly_detection|time_series_analysis
Automated e-commerce application: personalized product and content recommendations for online shoppers,deep_learning|recommender_systems|collaborative_filtering
Technology leveraging AI and machine learning for aI assessment of truthfulness or deception in interrogations or border checks,computer_vision|nlp|sentiment_analysis
AI management of electricity grid load balancing and failure prevention. This AI-powered system automates key processes in the critical infrastructure domain,machine_learning|iot|time_series_analysis|optimization
A email/security AI tool capable of automated filtering of spam and phishing emails,nlp|machine_learning|anomaly_detection
A automotive AI tool capable of autonomous driving and collision avoidance in road vehicles,computer_vision|deep_learning|reinforcement_learning|sensor_fusion
AI system that performs foundation AI model for enterprise and consumer applications,nlp|deep_learning|transformer|generative_ai
Real-time remote biometric identification in public spaces by private entities. This AI-powered system automates key processes in the biometrics domain,computer_vision|deep_learning|biometrics
AI system that performs automated allocation of work tasks and management of gig economy workers,machine_learning|optimization|reinforcement_learning
Real-time remote biometric identification in public spaces by private entities,computer_vision|deep_learning|biometrics
"AI generating news articles, summaries and editorial content. This AI-powered system automates key processes in the media domain",nlp|deep_learning|generative_ai
AI system that performs foundation model API for enterprise AI applications,nlp|deep_learning|transformer|generative_ai
Automated general purpose ai application: open-source foundation model for unrestricted deployment,nlp|deep_learning|transformer|generative_ai
A education AI tool capable of emotion recognition systems deployed in educational institutions,computer_vision|deep_learning|sentiment_analysis
AI system that performs aI-driven non-player characters with adaptive behavior in video games,reinforcement_learning|deep_learning|generative_ai
Automated media/content application: aI video and voice synthesis (deepfake) for content creation,computer_vision|deep_learning|generative_ai|gan
"Multimodal foundation model for search, workspace and developer APIs",nlp|deep_learning|transformer|generative_ai|computer_vision
A critical infrastructure AI tool capable of aI management of electricity grid load balancing and failure prevention,machine_learning|iot|time_series_analysis|optimization
An artificial intelligence solution designed for scoring individuals based on social behavior and trustworthiness,machine_learning|data_mining|social_network_analysis
An artificial intelligence solution designed for mass scraping of internet/CCTV images to build facial recognition databases,computer_vision|deep_learning|biometrics|data_mining
AI system that performs aI-assisted code generation and completion for software developers,nlp|deep_learning|transformer|generative_ai
Scoring individuals based on social behavior and trustworthiness,machine_learning|data_mining|social_network_analysis
AI system that performs autonomous driving and collision avoidance in road vehicles,computer_vision|deep_learning|reinforcement_learning|sensor_fusion
Post-facto biometric identification for law enforcement investigations. This AI-powered system automates key processes in the biometrics domain,computer_vision|biometrics|deep_learning
An artificial intelligence solution designed for open-source foundation model for unrestricted deployment,nlp|deep_learning|transformer|generative_ai
A media/content AI tool capable of aI video and voice synthesis (deepfake) for content creation,computer_vision|deep_learning|generative_ai|gan
"Automated public services application: aI determining eligibility for social welfare, housing benefits, unemployment aid",machine_learning|nlp|decision_systems
Automated general purpose ai application: foundation model API for enterprise AI applications,nlp|deep_learning|transformer|generative_ai
Automated insurance application: automated risk scoring for insurance pricing and coverage decisions,machine_learning|predictive_analytics|data_mining
"A media AI tool capable of aI generating news articles, summaries and editorial content",nlp|deep_learning|generative_ai
Open-source foundation model for unrestricted deployment. This AI-powered system automates key processes in the general purpose ai domain,nlp|deep_learning|transformer|generative_ai
"Automated general purpose ai application: multimodal foundation model for search, workspace and developer APIs",nlp|deep_learning|transformer|generative_ai|computer_vision
Technology leveraging AI and machine learning for automated monitoring and control of municipal water treatment plants,machine_learning|iot|anomaly_detection|time_series_analysis
"Automated biometrics application: inferring race, political opinion, religion, sexual orientation from biometrics",computer_vision|deep_learning|biometrics
Automated filtering and ranking of job applicants from CVs. This AI-powered system automates key processes in the employment domain,nlp|machine_learning|ranking_algorithms
Automated developer tools application: aI-assisted code generation and completion for software developers,nlp|deep_learning|transformer|generative_ai
Using subliminal techniques to distort human behavior against their will. This AI-powered system automates key processes in the behavioral manipulation domain,nlp|deep_learning|behavioral_analytics
A biometrics AI tool capable of post-facto biometric identification for law enforcement investigations,computer_vision|biometrics|deep_learning
An artificial intelligence solution designed for using subliminal techniques to distort human behavior against their will,nlp|deep_learning|behavioral_analytics
An artificial intelligence solution designed for foundation AI model for enterprise and consumer applications,nlp|deep_learning|transformer|generative_ai
Automated filtering and ranking of job applicants from CVs,nlp|machine_learning|ranking_algorithms
An artificial intelligence solution designed for aI-driven non-player characters with adaptive behavior in video games,reinforcement_learning|deep_learning|generative_ai
Automated filtering of spam and phishing emails,nlp|machine_learning|anomaly_detection
AI-driven non-player characters with adaptive behavior in video games. This AI-powered system automates key processes in the gaming domain,reinforcement_learning|deep_learning|generative_ai
AI system that performs monitoring worker behavior and scoring productivity for management decisions,machine_learning|behavioral_analytics|time_series_analysis
An artificial intelligence solution designed for automated scoring and ranking of university applicants,machine_learning|nlp|ranking_algorithms
Automated risk scoring for insurance pricing and coverage decisions. This AI-powered system automates key processes in the insurance domain,machine_learning|predictive_analytics|data_mining
An artificial intelligence solution designed for real-time remote biometric identification in public spaces by private entities,computer_vision|deep_learning|biometrics
Autonomous driving and collision avoidance in road vehicles. This AI-powered system automates key processes in the automotive domain,computer_vision|deep_learning|reinforcement_learning|sensor_fusion
Automated critical infrastructure application: automated monitoring and control of municipal water treatment plants,machine_learning|iot|anomaly_detection|time_series_analysis
A law enforcement AI tool capable of aI assessment of truthfulness or deception in interrogations or border checks,computer_vision|nlp|sentiment_analysis
"An artificial intelligence solution designed for aI generating news articles, summaries and editorial content",nlp|deep_learning|generative_ai
AI-driven non-player characters with adaptive behavior in video games,reinforcement_learning|deep_learning|generative_ai
Technology leveraging AI and machine learning for aI predicting judicial outcomes and assisting in legal interpretation,nlp|deep_learning|predictive_analytics
Automated employment application: automated allocation of work tasks and management of gig economy workers,machine_learning|optimization|reinforcement_learning
Automated automotive application: autonomous driving and collision avoidance in road vehicles,computer_vision|deep_learning|reinforcement_learning|sensor_fusion
AI predicting crime hotspots and individual crime likelihood for policing decisions,machine_learning|predictive_analytics|geospatial_analysis
Automated scoring and ranking of university applicants. This AI-powered system automates key processes in the education domain,machine_learning|nlp|ranking_algorithms
Technology leveraging AI and machine learning for personalized product and content recommendations for online shoppers,deep_learning|recommender_systems|collaborative_filtering
Technology leveraging AI and machine learning for aI-driven non-player characters with adaptive behavior in video games,reinforcement_learning|deep_learning|generative_ai
AI content recommendation and feed curation for social media users,deep_learning|recommender_systems|behavioral_analytics
AI system that performs automated scoring and ranking of university applicants,machine_learning|nlp|ranking_algorithms
AI video and voice synthesis (deepfake) for content creation. This AI-powered system automates key processes in the media/content domain,computer_vision|deep_learning|generative_ai|gan
"Automated behavioral manipulation application: exploiting age, disability, or socioeconomic vulnerability to distort behavior",machine_learning|behavioral_analytics|nlp
"Technology leveraging AI and machine learning for multimodal foundation model for search, workspace and developer APIs",nlp|deep_learning|transformer|generative_ai|computer_vision
"AI-assisted detection of tumours, fractures, and pathologies in medical imaging",computer_vision|deep_learning|medical_imaging
Automated financial services application: automated creditworthiness assessment for loans and credit products,machine_learning|predictive_analytics|data_mining
Using subliminal techniques to distort human behavior against their will,nlp|deep_learning|behavioral_analytics
AI system that performs automated filtering and ranking of job applicants from CVs,nlp|machine_learning|ranking_algorithms
Technology leveraging AI and machine learning for general-purpose AI chatbot for consumer and enterprise use,nlp|deep_learning|transformer|generative_ai
A employment AI tool capable of automated filtering and ranking of job applicants from CVs,nlp|machine_learning|ranking_algorithms
Automated creditworthiness assessment for loans and credit products,machine_learning|predictive_analytics|data_mining
An artificial intelligence solution designed for aI content recommendation and feed curation for social media users,deep_learning|recommender_systems|behavioral_analytics
Technology leveraging AI and machine learning for automated allocation of work tasks and management of gig economy workers,machine_learning|optimization|reinforcement_learning
"A biometrics AI tool capable of inferring race, political opinion, religion, sexual orientation from biometrics",computer_vision|deep_learning|biometrics
Automated risk assessment and classification of asylum seekers. This AI-powered system automates key processes in the migration domain,nlp|machine_learning|decision_systems
"AI determining eligibility for social welfare, housing benefits, unemployment aid",machine_learning|nlp|decision_systems
Technology leveraging AI and machine learning for open-source foundation model for unrestricted deployment,nlp|deep_learning|transformer|generative_ai
Technology leveraging AI and machine learning for automated risk scoring for insurance pricing and coverage decisions,machine_learning|predictive_analytics|data_mining
"AI-assisted detection of tumours, fractures, and pathologies in medical imaging. This AI-powered system automates key processes in the healthcare domain",computer_vision|deep_learning|medical_imaging
Personalized product and content recommendations for online shoppers,deep_learning|recommender_systems|collaborative_filtering
A employment AI tool capable of automated allocation of work tasks and management of gig economy workers,machine_learning|optimization|reinforcement_learning
Technology leveraging AI and machine learning for mass scraping of internet/CCTV images to build facial recognition databases,computer_vision|deep_learning|biometrics|data_mining
An artificial intelligence solution designed for automated filtering and ranking of job applicants from CVs,nlp|machine_learning|ranking_algorithms
Automated language translation for consumers and businesses. This AI-powered system automates key processes in the language domain,nlp|deep_learning|transformer
"AI system that performs aI determining eligibility for social welfare, housing benefits, unemployment aid",machine_learning|nlp|decision_systems
"A public services AI tool capable of aI determining eligibility for social welfare, housing benefits, unemployment aid",machine_learning|nlp|decision_systems
Technology leveraging AI and machine learning for post-facto biometric identification for law enforcement investigations,computer_vision|biometrics|deep_learning
An artificial intelligence solution designed for aI predicting crime hotspots and individual crime likelihood for policing decisions,machine_learning|predictive_analytics|geospatial_analysis
Foundation AI model for enterprise and consumer applications. This AI-powered system automates key processes in the general purpose ai domain,nlp|deep_learning|transformer|generative_ai
Technology leveraging AI and machine learning for aI chatbot interacting with customers for support and sales,nlp|deep_learning|chatbot
AI content recommendation and feed curation for social media users. This AI-powered system automates key processes in the social media domain,deep_learning|recommender_systems|behavioral_analytics
An artificial intelligence solution designed for automated filtering of spam and phishing emails,nlp|machine_learning|anomaly_detection
Mass scraping of internet/CCTV images to build facial recognition databases,computer_vision|deep_learning|biometrics|data_mining
AI system that performs using subliminal techniques to distort human behavior against their will,nlp|deep_learning|behavioral_analytics
Technology leveraging AI and machine learning for automated risk assessment and classification of asylum seekers,nlp|machine_learning|decision_systems
Automated employment application: automated filtering and ranking of job applicants from CVs,nlp|machine_learning|ranking_algorithms
Monitoring worker behavior and scoring productivity for management decisions,machine_learning|behavioral_analytics|time_series_analysis
Automated creditworthiness assessment for loans and credit products. This AI-powered system automates key processes in the financial services domain,machine_learning|predictive_analytics|data_mining
"An artificial intelligence solution designed for aI-assisted detection of tumours, fractures, and pathologies in medical imaging",computer_vision|deep_learning|medical_imaging
AI system that performs automated creditworthiness assessment for loans and credit products,machine_learning|predictive_analytics|data_mining
A migration AI tool capable of automated risk assessment and classification of asylum seekers,nlp|machine_learning|decision_systems
A general purpose ai AI tool capable of open-source foundation model for unrestricted deployment,nlp|deep_learning|transformer|generative_ai
Automated risk scoring for insurance pricing and coverage decisions,machine_learning|predictive_analytics|data_mining
AI predicting judicial outcomes and assisting in legal interpretation,nlp|deep_learning|predictive_analytics
AI chatbot interacting with customers for support and sales,nlp|deep_learning|chatbot
Automated critical infrastructure application: aI management of electricity grid load balancing and failure prevention,machine_learning|iot|time_series_analysis|optimization
AI system that performs mass scraping of internet/CCTV images to build facial recognition databases,computer_vision|deep_learning|biometrics|data_mining
An artificial intelligence solution designed for automated risk scoring for insurance pricing and coverage decisions,machine_learning|predictive_analytics|data_mining
AI system that performs open-source foundation model for unrestricted deployment,nlp|deep_learning|transformer|generative_ai
An artificial intelligence solution designed for post-facto biometric identification for law enforcement investigations,computer_vision|biometrics|deep_learning
AI system that performs automated risk scoring for insurance pricing and coverage decisions,machine_learning|predictive_analytics|data_mining
A education AI tool capable of automated scoring and ranking of university applicants,machine_learning|nlp|ranking_algorithms
Automated language application: automated language translation for consumers and businesses,nlp|deep_learning|transformer
"AI generating news articles, summaries and editorial content",nlp|deep_learning|generative_ai
AI system that performs post-facto biometric identification for law enforcement investigations,computer_vision|biometrics|deep_learning
AI management of electricity grid load balancing and failure prevention,machine_learning|iot|time_series_analysis|optimization
A biometrics AI tool capable of real-time remote biometric identification in public spaces by private entities,computer_vision|deep_learning|biometrics
An artificial intelligence solution designed for foundation model API for enterprise AI applications,nlp|deep_learning|transformer|generative_ai
AI-assisted code generation and completion for software developers. This AI-powered system automates key processes in the developer tools domain,nlp|deep_learning|transformer|generative_ai
An artificial intelligence solution designed for aI predicting judicial outcomes and assisting in legal interpretation,nlp|deep_learning|predictive_analytics
Technology leveraging AI and machine learning for foundation AI model for enterprise and consumer applications,nlp|deep_learning|transformer|generative_ai
An artificial intelligence solution designed for autonomous driving and collision avoidance in road vehicles,computer_vision|deep_learning|reinforcement_learning|sensor_fusion
Technology leveraging AI and machine learning for real-time remote biometric identification in public spaces by private entities,computer_vision|deep_learning|biometrics
Automated biometrics application: mass scraping of internet/CCTV images to build facial recognition databases,computer_vision|deep_learning|biometrics|data_mining
An artificial intelligence solution designed for general-purpose AI chatbot for consumer and enterprise use,nlp|deep_learning|transformer|generative_ai
"AI system that performs multimodal foundation model for search, workspace and developer APIs",nlp|deep_learning|transformer|generative_ai|computer_vision
Technology leveraging AI and machine learning for automated creditworthiness assessment for loans and credit products,machine_learning|predictive_analytics|data_mining
An artificial intelligence solution designed for aI assessment of truthfulness or deception in interrogations or border checks,computer_vision|nlp|sentiment_analysis
Automated general purpose ai application: foundation AI model for enterprise and consumer applications,nlp|deep_learning|transformer|generative_ai
Automated law enforcement application: aI assessment of truthfulness or deception in interrogations or border checks,computer_vision|nlp|sentiment_analysis
Scoring individuals based on social behavior and trustworthiness. This AI-powered system automates key processes in the social scoring domain,machine_learning|data_mining|social_network_analysis
AI system that performs scoring individuals based on social behavior and trustworthiness,machine_learning|data_mining|social_network_analysis
Automated education application: emotion recognition systems deployed in educational institutions,computer_vision|deep_learning|sentiment_analysis
Technology leveraging AI and machine learning for automated language translation for consumers and businesses,nlp|deep_learning|transformer
A gaming AI tool capable of aI-driven non-player characters with adaptive behavior in video games,reinforcement_learning|deep_learning|generative_ai
Automated email/security application: automated filtering of spam and phishing emails,nlp|machine_learning|anomaly_detection
Automated migration application: automated risk assessment and classification of asylum seekers,nlp|machine_learning|decision_systems
Automated risk assessment and classification of asylum seekers,nlp|machine_learning|decision_systems
An artificial intelligence solution designed for automated monitoring and control of municipal water treatment plants,machine_learning|iot|anomaly_detection|time_series_analysis
A general purpose ai AI tool capable of foundation model API for enterprise AI applications,nlp|deep_learning|transformer|generative_ai
A customer service AI tool capable of aI chatbot interacting with customers for support and sales,nlp|deep_learning|chatbot
A developer tools AI tool capable of aI-assisted code generation and completion for software developers,nlp|deep_learning|transformer|generative_ai
AI system that performs automated filtering of spam and phishing emails,nlp|machine_learning|anomaly_detection
"AI system that performs aI-assisted detection of tumours, fractures, and pathologies in medical imaging",computer_vision|deep_learning|medical_imaging
Automated social scoring application: scoring individuals based on social behavior and trustworthiness,machine_learning|data_mining|social_network_analysis
